country,year,GDP_per_capita,GDP_growth,Primary_enrollment,Secondary_enrollment,Tertiary_enrollment,Education_expenditure,Population,YoY_GDP_per_capita,YoY_Primary_enrollment,YoY_Secondary_enrollment,YoY_Tertiary_enrollment
COD,2003,317.778121357431,5.57782231144424,,,,,55343867.0,2.54,0.0,,
COD,2004,329.3490636773,6.73837393324294,,,,,56997741.0,3.64,0.0,,
COD,2005,338.980980805364,6.13515115548972,,,,,58775724.0,2.92,0.0,,
COD,2006,346.179697463638,5.32097956548998,,,4.30008983612061,,60615908.0,2.12,0.0,,
COD,2007,356.886805082139,6.25947776437397,86.5012130737305,34.5101585388184,4.28283023834229,,62477752.0,3.09,37.77,,-0.4
COD,2008,367.843747648712,6.22589426869193,95.339958190918,36.8209190368652,5.36045980453491,,64390664.0,3.07,10.22,6.7,25.16
COD,2009,366.830226544363,2.85506401011484,95.4763031005859,38.4405784606934,6.35163021087646,,66412044.0,-0.28,0.14,4.4,18.49
COD,2010,380.578038274352,7.10797657581392,95.6278686523438,38.1317481994629,,1.5249799489975,68563038.0,3.75,0.16,-0.8,0.0
COD,2011,393.616173563894,6.8746708900163,97.0199890136719,40.1614418029785,7.69432020187378,,70849311.0,3.43,1.46,5.32,21.14
COD,2012,407.671076943679,7.08689894671942,101.648918151855,40.0562782287598,7.80960988998413,,73254618.0,3.57,4.77,-0.26,1.5
COD,2013,427.458520350728,8.48195663608755,103.082382202148,39.87744140625,6.54968023300171,2.06221008300781,75789395.0,4.85,1.41,-0.45,-16.13
COD,2014,452.339650501681,9.4702880993101,106.844009399414,42.7313385009766,,1.95142996311188,78403242.0,5.82,3.65,7.16,0.0
COD,2015,467.9145805459,6.91616711922561,104.778686523438,43.8240394592285,,2.17043995857239,81035531.0,3.44,-1.93,2.56,0.0
COD,2016,462.47214741215,2.39939891133452,,,6.07901000976562,2.1186900138855,83956415.0,-1.16,0.0,0.0,-7.19
COD,2017,462.482920889479,3.7269476588301,,,,1.45494997501373,87083398.0,0.0,0.0,0.0,0.0
COD,2018,473.294077418165,5.82112109969025,113.982978820801,,,,90047644.0,2.34,8.78,0.0,0.0
COD,2019,478.632426258904,4.38452887429834,,,,,92947442.0,1.13,0.0,0.0,0.0
COD,2020,471.504423341186,1.73542276681493,118.195663452148,,6.66692018508911,2.622638463974,95989998.0,-1.49,3.7,0.0,9.67
COD,2021,484.784649973339,6.20015401075946,122.393676757812,56.8860206604004,,2.660484790802,99148932.0,2.82,3.55,29.81,0.0
COD,2022,511.299266278693,8.92444762563109,,,,3.002521276474,102396968.0,5.47,0.0,0.0,0.0
EGY,2000,2458.60835003016,6.37000382991766,90.8942489624023,79.0835037231445,,,73083284.0,,,,
EGY,2001,2492.03441188721,3.53525197391507,89.9948425292969,80.7900314331055,28.1952991485596,,74652029.0,1.36,-0.99,2.16,
EGY,2002,2498.48121191713,2.39020402573726,89.9305725097656,80.3901672363281,29.316650390625,4.7958836555481,76239137.0,0.26,-0.07,-0.49,3.98
EGY,2003,2524.80477192682,3.19345473739745,89.916862487793,80.2661972045898,26.3915996551514,4.94563007354736,77853548.0,1.05,-0.02,-0.15,-9.98
EGY,2004,2574.42341789124,4.0920716112534,90.4439468383789,79.4210968017578,27.6763496398926,4.67072010040283,79477443.0,1.97,0.59,-1.05,4.87
EGY,2005,2635.70305227819,4.47174447174434,90.4735794067383,,28.7957496643066,4.79442977905273,81101004.0,2.38,0.03,0.0,4.04
EGY,2006,2761.62410769792,6.84383819379117,92.061149597168,,28.7297592163086,4.00178003311157,82700403.0,4.78,1.75,0.0,-0.23
EGY,2007,2902.06559804963,7.08782742681038,93.072509765625,,29.175989151001,3.68460988998413,84276225.0,5.09,1.1,0.0,1.55
EGY,2008,3052.21297844721,7.15628356605819,,,28.9939308166504,3.76082992553711,85864789.0,5.17,0.0,0.0,-0.62
EGY,2009,3135.09661303014,4.67359979952391,94.6571273803711,63.785041809082,29.6097393035889,3.6391909122467,87501636.0,2.72,1.7,-19.69,2.12
EGY,2010,3233.84521246786,5.1472348575531,94.5771713256836,65.257209777832,30.5086708068848,3.54265189170837,89196072.0,3.15,-0.08,2.31,3.04
EGY,2011,3222.37650111856,1.7645719489982,91.0242385864258,73.5110321044922,25.8721904754639,3.3442964553833,91093059.0,-0.35,-3.76,12.65,-15.2
EGY,2012,3220.99194203067,2.22619979863525,95.6657562255859,74.484260559082,26.4579601287842,3.36830472946167,93161001.0,-0.04,5.1,1.32,2.26
EGY,2013,3216.3783902629,2.18546605362143,95.5598602294922,75.8195037841797,28.5217609405518,4.12252616882324,95333553.0,-0.14,-0.11,1.79,7.8
